abandon ,əˈbændən  ," покидать, оставлять, самовольно уходить"
ambivalent,[æm'biv(ə)lənt],"двойственный, противоречивый"
amelioration,"[ə,mi:li(ə)'rei∫(ə)n]",мелиорация; улучшение почв
amenable,[ə'mi:nəbl],ответственный
amicable,['æmikəbl],"дружелюбный, дружеский, дружественный, товарищеский"
amnesia victim,,"человек, потерявший память"
amnesty,['æmnəsti],"амнистия, помилование, прощение"
analogous,[ə'næləgəs],"аналогичный; похожий, сходный, схожий"
anecdote,['ænikdəut],"эпизод, случай (обычно забавный или поучительный, представляющий интерес)"
annex,['æneks],"приложение, дополнение (к тексту, договору, книге)"
annual inventory,,сплошная инвентаризация в конце отчётного года
anonymous,[ə'nоniməs],"анонимный, безымянный, неподписанный"
antagonism,[æn'tægəniz(ə)m],"вражда; враждебность, неприязнь"
antagonist,[æn'tægənist],"антагонист; соперник; враг, противник"
antebellum,"[,ænti'beləm]","довоенный, произошедший перед войной"
antedate,"[,ænti'deit]","дата, поставленная задним числом (обычно в письме)"
to anticipate payment,,уплатить раньше срока
antique art,,античное искусство
anxious,['æɳ(k)∫əs],"озабоченный, беспокоящийся"
apathy,['æpəθi],"апатия, безразличие; вялость; индифферентность"
Apollonian,"[,æpə'ləuniən]",подобный Аполлону (богу Солнца у древних греков и римлян); прекрасный (классической красотой)
apparent contradiction,,очевидное противоречие
appealing,[ə'pi:liɳ],"трогательный, умоляющий"
appease,[ə'pi:z],"успокаивать; умиротворять, унимать, усмирять"
applaud,[ə'plo:d],"аплодировать, хлопать, рукоплескать"
appraise,[ə'preiz],"оценивать, расценивать, производить оценку; устанавливать цену"
apprise,[ə'praiz],"(apprise of) извещать, информировать, объявлять, оповещать о (чём-л.)"
approbation,"[,æprə(u)'bei∫(ə)n]","одобрение, похвала, хвала, восхваление"
apt,[æpt],"подходящий, соответствующий, уместный; удачный"
aqueous,['eikwiəs],"водный, водяной; водянистый"
arable land,,"пахотная земля, пашня"
arduous,['a:djuəs],"трудный, тяжёлый"
arid region,,аридная область
armistice,['a:mistis],"прекращение военных действий; короткое перемирие, прекращение огня"
aroma,[ə'rəumə],"аромат, приятный запах"
arrogant,['ærəgənt],"заносчивый, высокомерный, надменный"
articulate,[a:'tikjələt],"чёткий, членораздельный"
artificial atmosphere,,кондиционированный воздух
ascertain,"[,æsə'tein]","выяснять, устанавливать; убеждаться, удостоверяться"
assail,[ə'seil],"нападать, атаковать"
assault,[ə'so:lt],"атаковать, штурмовать, идти на приступ"
assert,[ə'sə:t],"утверждать; заявлять, декларировать,"
assiduous,[ə'sidjuəs],"усердный, прилежный; неутомимый, старательный, трудолюбивый"
to assimilate into,,"освоиться, прижиться, приспособиться"
astonishing,[ə'stоni∫iɳ],"изумительный, ошеломительный, поразительный, удивительный"
astute,[ə'stju:t],"хитроумный, хитрый, ловкий, коварный"
atone,[ə'təun],"заглаживать, искупать (грех, вину)"
atrocious,[ə'trəu∫əs],"свирепый, жестокий, зверский, ужасающий; свирепый, жестокий, зверский, ужасающий"
to attain equilibrium,,достигать равновесия
attribute,['ætribju:t],"отличительная черта, характерное свойство; неотъемлемый признак,"
audacious,[o:'dei∫əs],"бесстрашный, отважный, смелый, храбрый"
auditory acuity,,острота слуха
augment,['o:gmənt],"аугмент, приращение (чаще всего в греческом языке и санскрите)"
august,[o:'g∧st],августейший (о монархе)
austere,[o:'stiə],строгий
authentic manuscript,,оригинал
authorize,['o:θ(ə)raiz],уполномочивать; поручать
autocracy,[o:'tоkrəsi],"автократия, абсолютизм, самодержавие"
automaton,[o:'tоmət(ə)n],автомат
autonomy,[o:'tоnəmi],независимость
avalanche,['æv(ə)la:n(t)∫],"лавина, обвал (снега, земли, льда в горах)"
avarice,['ævəris],"алчность; жадность, скупость"
aversion,[ə'və:∫(ə)n],"отвращение, антипатия (to)"
avert,[ə'və:t],отворачиваться; отводить (взгляд)
aviator,['eivieitə],"авиатор, лётчик, пилот"
avid,['ævid],"жадный, скупой; алчный (к чему-л., до чего-л. - of, for)"
avoid,[ə'vоid],"избегать, остерегаться, сторониться, уклоняться"
avouch,[ə'vauʧ],"заявлять, утверждать"
bacchanalian,"[,bækə'neiliən]","пьяница, гуляка, кутила"
bachelor apartment,,однокомнатная квартира
backbreaking job,,непосильное задание; каторжный труд
to baffle pursuit,,ускользать от преследования
bald,[bo:ld],"вершина гор, лишённая растительности"
balmy,['ba:mi],"ароматный, благоухающий"
ban,[bæn],запрещение
bankrupt,['bæɳkr∧pt],несостоятельный должник; банкрот
bare facts,,голые факты
barren land,,"бесплодная, тощая земля"
barter away,,продать по очень низкой цене
bashful,['bæ∫fəl],"застенчивый, робкий, скромный"
bead,[bi:d],"шарик (со сквозным отверстием), бусина, бисерина"
beam splitter,"['bi:m,splitə]","светоделитель, конструкция из призм и зеркал"
to bear a bob,,хором подхватить припев
beckon,['bek(ə)n],"подзывать кивком головы; манить, делать знак (рукой, пальцем)"
becoming,[bi'k∧miɳ],"подобающий, приличествующий, соответствующий"
befall,[bi'fo:l],"приключаться, происходить, случаться, совершаться"
bellicose mood,,воинственное настроение
belligerence,[be'liʤərən(t)s],воинственность; агрессивность
belligerent,[bi'liʤər(ə)nt],воюющая сторона (в войне); воюющая сторона (в войне)
beneficiary,"[,beni'fi∫əri]","владелец бенефиция, доходной должности (в католической и англиканской церквах)"
benefit in kind,,натуральное пособие
benevolent,[bi'nevələnt],"благожелательный, благосклонный"
bequeath,[bi'kwi:∂],"завещать (движимость, деньги)"
besiege,[bi'si:ʤ],"осаждать; блокировать, окружать"
bestow,[bi'stəu],"давать, даровать, награждать"
betray,[bi'trei],"изменять, предавать, продавать"
beverage,['bevəriʤ],напиток
bias,['baiəs],"наклон, покатость, склон, уклон"
bicker,['bikə],перебранка
bilateral treaty,,двусторонний договор
biography,[bai'оgrəfi],биография
bland,[blænd],вежливый; ласковый; вкрадчивый
blatant lie,,наглая ложь
blend,[blend],смешивать; изготовлять смесь
blizzard,['blizəd],"снежная буря, буран, пурга"
bloom,[blu:m],"цвет, цветение"
to bluff it out,,выкрутиться
blunder away,,упустить
blunt angle,,тупой угол; срезанный угол
bold type,,жирный шрифт
bolster,['bəulstə],"валик под подушкой; подушечка (для сидения, облокачивания)"
boom box,,бум-бокс (стереомагнитофон или проигрыватель компакт-дисков)
bothersome,['bо∂əs(ə)m],"надоедливый, докучливый, назойливый; беспокойный, неугомонный"
bough,[bau],сук
brace box,,"коробка, содержащая раздаваемую колоду, сделанная так, что сдающий может жульничать"
breakthrough,['breikθru:],проникновение внутрь (через барьер любого рода)
breathtaking speed,,захватывающая скорость
to breed ill blood,,"сеять раздоры, ссорить"
breeze block,['bri:zblоk],шлакобетонный блок
brilliant,['briliənt],бриллиант
to brisk about,,быстро двигаться
brittle,['britl],"ломкий, хрупкий"
broach to,,повернуть корабль боком к волнам
brochure,['brəu∫uə],"брошюра, буклет, проспект"
brutal,['bru:tl],"бесчеловечный, жестокий, зверский"
bulky,['b∧lki],"большой, объёмистый; громоздкий, занимающий много места"
buttress up by facts,,подкреплять фактами
cajole,[kə'ʤəul],"умасливать, упрашивать, склонять лестью (к чему-л.)"
calamity howler,,"человек, постоянно предсказывающий какое-л. бедствие; паникёр; пессимист"
calm,[ka:m],"спокойный, мирный, невозмутимый"
camouflage,['kæməfla:Ʒ],"камуфляж, маскировка; маскировочные средства"
canvass,['kænvəs],"обсуждать; дебатировать, дискутировать, спорить; подробно обсуждать"
capable,['keipəbl],(of) способный на что-л.
captivate,['kæptiveit],"очаровывать, пленять, покорять, увлекать"
captor,['kæptə],"тот, кто захватил кого-л. в плен; тюремщик, поработитель"
carefree,['kɛəfri:],"беззаботный, беспечный, легкомысленный"
caricature,"[,kærikə'tjuə]",карикатура
carnage,['ka:niʤ],"резня, кровавая бойня, побоище"
carve out,,добиваться
to cast a chill over,,расхолаживать
casual acquaintance,,"случайная встреча, случайное знакомство"
cataclysm,['kætəkliz(ə)m],катаклизм; катастрофа
catastrophe,[kə'tæstrəfi],"катастрофа, трагедия; несчастье, беда"
caustic lime,,негашёная известь
cautious,['ko:∫əs],"осторожный, осмотрительный; предусмотрительный"
cavity magnetron,,"магнетрон, обеспечивающий большой выход энергии"
celebrated,['seləbreitid],"знаменитый; выдающийся, прославленный"
to censor the press,,осуществлять цензуру печати
censure,['sen(t)∫ə],"неодобрение, осуждение, порицание"
census paper,,"бланк, заполняемый при переписи"
centennial,[sen'teniəl],"вековой, столетний"
chaffer,['ʧæfə],"спор (из-за цены), торг"
chaos theory,,"теория хаоса (раздел математики, изучающий сложное поведение динамических систем)"
charming personality,,"харизматическая, притягательная личность"
chasm,['kæz(ə)m],"глубокая трещина, расщелина; щель"
cherish,['ʧeri∫],"заботливо относиться, ухаживать; холить и лелеять"
chicanery,[∫i'kein(ə)ri],крючкотворство; сутяжничество; бюрократические придирки; увиливание
chide,[ʧaid],"распекать, ругать, бранить; винить; ворчать"
chilly,['ʧili],холодный; прохладный
choice word,,меткое слово
chop down,,"срубать, вырубать"
chubby,['ʧ∧bi],"круглолицый, полнощёкий"
cicerone,"[,ʧiʧə'rəuni]","чичероне, гид, экскурсовод, проводник"
cite,[sait],ссылаться (на что-л.)
clandestine meeting,,"тайное, нелегальное собрание"
clash,[klæ∫],сталкиваться; ударяться друг о друга (обычно об оружии)
classify,['klæsifai],"классифицировать, систематизировать"
clever trick,,хитроумная выходка
cliché,['kli:∫ei],клише (печатная форма для воспроизведения иллюстраций)
cling film,['kliɳfilm],плёнка для пищевых продуктов
clumsy,['kl∧mzi],"неповоротливый, неуклюжий, нескладный, неловкий"
coalescence,[kəuə'les(ə)n(t)s],"сращивание, срастание"
coalition cabinet,,коалиционное правительство
coax,[kəuks],"убеждать, упрашивать, уговаривать"
coherent story,,"логичный, последовательный рассказ"
coin box,['kоinbоks],"монетоприёмник (телефона-автомата, игрового автомата)"
collaborate,[kə'læb(ə)reit],"работать совместно, сотрудничать"
colossal,[kə'lоs(ə)l],"(очень) большой, грандиозный, громадный, колоссальный"
commence,[kə'men(t)s],начинать
commerce,"['kоmə:s, kəmə:s]",(оптовая) торговля; коммерция
commitment warrant,,приказ о заключении под стражу; ордер на арест
commodity capital,,товарный капитал
compact,[kəm'pækt],"компактный; имеющий оптимальную форму, занимающий мало места"
compel,[kəm'pel],"заставлять, вынуждать, принуждать"
competent majority,,необходимое по закону большинство
compile,[kəm'pail],"выбирать информацию, собирать материал (из разных источников)"
compliment,['kоmplimənt],"любезность, комплимент"
comply,[kəm'plai],"(with) исполнять (просьбу, требование), удовлетворять (запросы, пожелания)"
component part,,"компонента, составляющая, интегральная часть"
comprehensible,"[,kоmpri'hen(t)səbl]","понятный, постижимый, ясный"
comprehensive insurance,,полное страхование
comprise,[kəm'praiz],"включать; заключать в себе, содержать"
compulsory education,,обязательное образование
concede,[kən'si:d],уступать (что-л.); отказываться (от чего-л.); передавать (что-л.)
concise,[kən'sais],"краткий; сжатый; лаконичный, немногословный (о речи, стиле письма)"
concoct,[kən'kоkt],состряпать (что-н. необычное из разных продуктов)
concord,['kоɳko:d],согласованность (действий и явлений); согласие
concrete evidence,,конкретные улики
concurrent,[kən'k∧r(ə)nt],сопутствующее обстоятельство
condemn,[kən'dem],"осуждать, порицать"
condone,[kən'dəun],"мириться с чем-л.; попустительствовать, потворствовать чему-л."
conducive,[kən'dju:siv],"благоприятный, подходящий; способствующий"
confer,[kən'fə:],"(confer on) жаловать (кого-л.); даровать, давать (кому-л.)"
confidential information,,"конфиденциальная информация, секретная информация"
configuration,"[kən,figju'rei∫(ə)n]",конфигурация; очертание; форма
confiscate,['kоnfiskeit],"конфисковать; реквизировать, наложить арест"
conflict of laws,,коллизионное право; частное международное право
conform,[kən'fo:m],"согласовывать, сообразовывать, приводить к соответствию"
congenial,[kən'ʤi:niəl],"сходный, близкий по духу; родственный"
congestion charge,,плата за въезд на перегруженную территорию (для ограничения автомобильного потока)
congregate,['kоɳgrigeit],собирать
consecutive clause,,придаточное предложение следствия
consequential,"[,kоn(t)si'kwen(t)∫(ə)l]","косвенный, побочный, непрямой (о результате)"
consistent,[kən'sist(ə)nt],"последовательный, стойкий"
conspicuous,[kən'spikjuəs],"видный, заметный, бросающийся в глаза"
construe,[kən'stru:],"толковать, объяснять, истолковывать"
contaminate,[kən'tæmineit],загрязнять; отравлять
contemplate,['kоntəmpleit],"обозревать, созерцать; пристально разглядывать"
contempt of court,,"оскорбление суда, неуважение к суду"
contention,[kən'ten(t)∫(ə)n],"спор; раздор, разногласие; разборка; ссора"
contrive,[kən'traiv],"придумывать, изобретать; разрабатывать"
controversial,"[,kоntrə'və:∫(ə)l]","спорный, сомнительный; дискуссионный"
controversy,['kоntrəvə:si],"дебаты, дискуссия, полемика, спор"
convey,[kən'vei],"перевозить, переправлять"
conviction,[kən'vik∫(ə)n],"осуждение, признание виновным"
conviviality,"[kən,vivi'æləti]","весёлость; праздничное, весёлое настроение"
copious,['kəupiəs],"обильный; богатый, обширный"
cordial reception,,сердечный приём
corporeal,[ko:'po:riəl],телесный (в противопоставлении духовному)
corpulent,['ko:pjulənt],"дородный, жирный, полный, тучный"
courteous,['kə:tiəs],"вежливый, обходительный, учтивый, любезный"
covert,['k∧vət],"убежище, прибежище"
cozy up,"[,kəuzi'∧p]",делать уютнее
crave,[kreiv],"(crave for, crave after) страстно желать, жаждать; тосковать (о чём-л.)"
crease up,,помирать со смеху
crooked nail,,костыль
crouch,[krauʧ],"припадать к земле; согнуться, сжаться"
crucial game,,решающая игра
crude iron,,необработанное железо
cruel and unusual punishment,,"пытка или наказание, несоразмерные тяжести преступления"
cryptic remark,,"непонятное, загадочное высказывание; загадочная реплика"
to cultivate land,,обрабатывать землю
cumbersome,['k∧mbəsəm],"громоздкий, объёмный"
curb bit,,мундштучные удила
curious,['kjuəriəs],"любопытный; любознательный, пытливый"
curt refusal,,"короткий, резкий отказ"
curtail,[kə:'teil],"сокращать, укорачивать; урезывать, уменьшать"
daring,['dɛəriɳ],"смелость; отвага; бесстрашие, мужество, храбрость; дерзость"
daunt,[do:nt],"обуздывать, укрощать; подчинять, покорять"
dazzle,['dæzl],ослепление
decadent,['dekəd(ə)nt],декадент
decipher,[di'saifə],"декодировать, раскодировать, расшифровывать, дешифровать"
declivity,[di'kliviti],склон; откос; покатость; спуск; уклон
decorate,['dek(ə)reit],"украшать, убирать"
decorous,['dek(ə)rəs],"благопристойный, порядочный, приличный, пристойный"
decrement,['dekrimənt],"понижение, уменьшение (в количественном или качественном отношении)"
decriminalize,"[,di:'krimin(ə)laiz]",исключить из числа уголовно наказуемых
dedicate,['dedikeit],"(dedicate to) посвящать (себя, свою жизнь чему-л.)"
deduction,[di'd∧k∫(ə)n],"вычет; удержание; снижение, сокращение; вычет; удержание; снижение, сокращение"
defame,[di'feim],"поносить, клеветать, порочить; наговаривать, оговаривать, позорить"
defect,[di'fekt],"недостаток, дефект, недочёт; изъян, порок"
defective verb,,недостаточный глагол
defiant,[di'faiənt],"вызывающий; неповинующийся, дерзкий, непокорный"
deficient,[di'fi∫(ə)nt],"недостающий, отсутствующий; недостаточный; дефектный, неполный"
definitive,[di'finitiv],"окончательный; решительный; имеющий решающее значение, решающий; последний"
defraud,[di'fro:d],(defraud of) обманом лишать (чего-л.)
degenerate,[di'ʤen(ə)rit],"выродок, дегенерат"
dehydrate,"[,di:hai'dreit]",обезвоживать
deity,['di:iti],"божество, бог"
dejected,[di'ʤektid],"грустный, печальный, унылый; удручённый; подавленный, угнетённый"
deliberate deception,,преднамеренный обман
delicate palate,,тонкий вкус
delightful,[di'laitfəl],"восхитительный, очаровательный"
deluge,['delju:ʤ],"потоп, наводнение"
delusion,[di'lu:Ʒ(ə)n],"обман, введение в заблуждение, ложь"
demolish,[di'mоli∫],"разрушать, уничтожать (что-л.)"
denote,[di'nəut],"отмечать (знаком, меткой), обозначать; различать, отличать"
denounce,[di'naun(t)s],"обвинять, ставить в вину, осуждать"
depress,[di'pres],"подчинять, покорять, порабощать"
deprive,[di'praiv],"отбирать, отнимать, лишать (чего-л.)"
derelict,['derəlikt],"покинутый, брошенный; бесхозный; покинутый, брошенный; бесхозный"
descry,[di'skrai],"рассмотреть, разглядеть, завидеть издалека"
desecrate,['desikreit],"оскорблять, осквернять, позорить"
desiccate,['desikeit],"высушивать, сушить; обезвоживать; удалять влагу"
desolate,['des(ə)lət],"одинокий, оставленный всеми, заброшенный; одинокий, оставленный всеми, заброшенный"
detect,[di'tekt],"замечать, открывать, обнаруживать"
deteriorate,[di'tiəriəreit],ухудшать; портить; повреждать
detract,[di'trækt],"отнимать; вычитать, уменьшать"
detrimental,"[,detri'ment(ə)l]","причиняющий ущерб; пагубный, губительный, вредный (to)"
deviate,['di:vieit],"(deviate from) отклоняться (от курса, нормы, темы)"
devise,[di'vaiz],"разрабатывать, продумывать (планы, идеи); выдумывать, изобретать"
devoid of fear,,бесстрашный
dexterous,['dekst(ə)rəs],"ловкий, проворный; расторопный"
diligence,['diliʤ(ə)n(t)s],"прилежание, старание, старательность, усердие"
diligent,['diliʤ(ə)nt],"прилежный, старательный, исполнительный (о людях)"
dilute,[dai'lu:t],"разжижать, разбавлять"
dim out,,частично затемнять (во время войны в целях светомаскировки)
dimension,[dai'men(t)∫(ə)n],измерение
dingy,['dinʤi],"выцветший, тусклый"
dip net,['dipnet],подсак
dire straits,,отчаянное положение
directory,[di'rekt(ə)ri],"руководство, инструкция, справочник, указатель"
discard,['diska:d],сбрасывание карт
discern,[di'sə:n],разглядеть
discipline,['disəplin],дисциплина (отрасль знания)
disclose,[dis'kləuz],"выявлять, обнаруживать, открывать; разоблачать, раскрывать"
discrepancy,[dis'krep(ə)n(t)si],"разница; различие, несходство, отличие"
dismal,['dizməl],"мрачный; унылый; гнетущий, тягостный, давящий; зловещий"
dismay,[dis'mei],"испуг, беспокойство, волнение, смятение"
dismissive,[dis'misiv],освобождающий
disparity,[dis'pærəti],"неравенство; несоответствие; несоразмерность (between, in)"
disperse,[di'spə:s],"рассеивать, развеивать; разгонять"
position classification,,классификация должностей (официальный перечень служебных обязанностей для классификации всех должностей в системе гражданской службы)
disprove,[dis'pru:v],"опровергать; доказывать ложность, ошибочность, несостоятельность чего-л."
dispute,[dis'pju:t],"диспут, дискуссия, дебаты, полемика"
disseminate,[di'semineit],"рассеивать, разбрасывать (семена)"
dissolve,[di'zоlv],"растворять, таять"
distract,[di'strækt],"отвлекать, уводить в сторону; отвлекать, уводить в сторону"
divulge,[dai'v∧lʤ],"разглашать, раскрывать, обнародовать"
docile,['dəusail],"восприимчивый, понятливый, способный"
to dodge a blow,,"избегать удара, уклоняться, увёртываться от удара"
dogged,['dоgid],"упрямый, упорный, настойчивый"
doleful,['dəulf(ə)l],"скорбный, печальный; меланхолический; страдальческий, унылый"
dominate,['dоmineit],"управлять, контролировать"
donate,[dəu'neit],"дарить, жаловать, жертвовать"
dot bomb,,"лопнувший ""дотком"" (разорившаяся интернет-компания) dot-com"
drastic,['dræstik],сильнодействующий (о лекарстве)
drawback,['dro:bæk],"препятствие; помеха, преграда, препона"
Aryan,['ɛəriən],арийский
drench,[drenʧ],промокать насквозь
drought,[draut],засуха; засушливость
drowsy,['drauzi],"засыпающий, дремлющий; сонный"
dull life,,"скучная, монотонная жизнь; безрадостная жизнь"
dumbfound,[d∧m'faund],"ошарашить, ошеломить, потрясти"
dunce cap,,дурацкий колпак
dungeon,['d∧nʤ(ə)n],главная башня (расположенная во внутреннем дворе средневекового замка)
durable,['djuərəbl],"надёжный, прочный, стойкий, крепкий"
to dwell on a sore subject,,подробно обсуждать больной вопрос
dwelling house,['dweliɳhaus],жилой дом
dwindle,['dwindl],"сокращаться, уменьшаться, убывать, истощаться"
dynamic personality,,"динамичная личность, динамичная натура, динамичный характер"
eclipse of the Moon,,лунное затмение
ecology,[i:'kоləʤi],экология
ecumenic(al),"[,i:kju'menik((ə)l)]",всемирный
edible mushroom,,съедобный гриб
edifice,['edifis],"большой дом, величественное здание, строение (о храме, дворце, замке)"
eerie,['iəri],"жуткий, зловещий, мрачный; сверхъестественный"
efface oneself,,"стушеваться, держаться в тени"
effuse,[i'fju:s],"льющийся через край, разливающийся"
elaborate,[i'læb(ə)rit],"тщательно, детально разработанный; продуманный; законченный; скрупулёзный, доскональный"
elasticity of compression,,упругость на сжатие
elderly,['eld(ə)li],"пожилой, почтенный"
elegant,['eligənt],"изысканный, элегантный (об одежде); со вкусом, изысканно одетый"
elevate hopes,,пробуждать надежды
elicit,[i'lisit],"извлекать; вытягивать, допытываться; вызывать"
eligible,['eliʤəbl],"имеющий право, могущий быть избранным (в должность, в члены какого-л. общества)"
emanate,['eməneit],"исходить, истекать (о запахе и т. п.)"
emancipate,[i'mæn(t)sipeit],"освобождать (от контроля, зависимости, рабства); эмансипировать"
embed,[im'bed],"вставлять, врезать, вделывать"
embitter,[im'bitə],"озлоблять, раздражать; наполнять горечью, отравлять (существование)"
emblem,['embləm],"символ, символическое изображение; типичный образ"
eminent,['eminənt],"высокий, вздымающийся; возвышающийся (над чем-л.)"
emit,[i'mit],"испускать, выделять (свет, тепло, запах); выбрасывать, извергать (пепел, дым, лаву)"
emulate,['emjuleit],"стремиться превзойти; конкурировать, соперничать, соревноваться"
enchanting,[en'ʧa:ntiɳ],"очаровательный, обаятельный, прелестный"
encomium,[in'kəumiəm],"восхваление, панегирик"
endorse by signature,,скреплять подписью
engender,[in'ʤendə],"возбуждать, вызывать, порождать, рождать"
enhance,[in'ha:n(t)s],"увеличивать, усиливать, улучшать (обычно какое-л. положительное свойство)"
enigma,[i'nigmə],"головоломка, загадка"
Y chromosome,"['wai,krəuməsəum]",Y-хромосома (половая хромосома)
ennui,['оnwi:],"скука, тоска; внутренняя опустошённость; апатия"
ensue,[in'sju:],получаться в результате; происходить (из-за чего-л.)
enumerate,[i'nju:m(ə)reit],перечислять
enunciate,[i'n∧n(t)sieit],"ясно, отчётливо произносить, проговаривать"
envelope,['envələup],конверт
environ,[in'vaiər(ə)n],"окружать, охватывать"
epiphyte,['epifait],"эпифит (растение, живущее на другом растении и в отличие от паразитов, получающее питательные вещества не от растения, на котором живет, а из окружающей его среды)"
epitaph,['epita:f],эпитафия; надпись на надгробном памятнике
epithet,['epiθet],эпитет
equitable treaty,,равноправный договор
era,['iərə],"эра; время, период, эпоха"
eradicate,[i'rædikeit],вырывать с корнем
escalate down,,смягчать (конфликт и т. п.)
eschew,[is'ʧu:],"воздерживаться, избегать, остерегаться, сторониться"
espouse,[is'pauz],жениться; выходить замуж
essay,['esei],"испытание, опробование, опыт, проба; проверка, тест"
essential oils,,эфирные масла
estate car,,"(легковой) автомобиль с кузовом ""универсал"""
esteem,[is'ti:m],"пиетет, почтение, уважение"
estrange,[is'treinʤ],"отдалять, отстранять, отчуждать"
eulogy,['ju:ləʤi],"хвалебная речь, панегирик"
evacuate,[i'vækjueit],"опорожнять, освобождать от содержимого"
evade,[i'veid],ускользать (от преследования и т. п.)
evanescent,"[,i:və'nes(ə)nt]","исчезающий, испаряющийся, тающий"
even,['i:v(ə)n],вечер
exacerbate,[ig'zæsəbeit],"обострять, осложнять, углублять, усиливать (кризис, недовольство)"
excavate,['ekskəveit],"копать, рыть; выкапывать, откапывать"
exceed,[ik'si:d],"превышать; переступать пределы, границы; выходить за пределы"
excerpt,['eksə:pt],"выборка, выдержка, извлечение, цитата; отрывок (из книги, музыкального произведения и т. п.)"
excrete,[eks'kri:t],"выделять, извергать"
excursion rates,,"сниженные расценки для туристов (на билеты, гостиницы)"
exhaustive,[ig'zo:stiv],"исчерпывающий, всесторонний, обстоятельный, полный"
exhortation,"[,egzo:'tei∫(ə)n]","призыв, увещевание, убеждение"
expendable,[ik'spendəbl],"потребляемый, расходуемый"
expire,[ik'spaiə],"закончиться, истечь (о сроках)"
explicit definition,,явное определение
explore,[ik'splo:],"исследовать, рассматривать, изучать, анализировать"
to expose equivocation,,раскрывать обман
expunge,[ik'sp∧nʤ],"вычёркивать, удалять (имя или слово из списка, отрывок из книги, запись)"
extensive knowledge,,"обширные знания, эрудиция"
extol,[ik'stəul],"восхвалять, превозносить, хвалить"
extract,[ik'strækt],"вытаскивать, извлекать"
extraneous body,,инородное тело
extravagant,"[ik,strævəgənt]","неэкономный, расточительный"
fable,['feibl],басня
facile tears,,лёгкие слёзы
facilitate,[fə'siliteit],"облегчать; содействовать; способствовать; помогать, продвигать"
facility of access,,"доступность (свойство не требовать специальных приспособлений для замены, ремонта)"
faint heart,,"""трусливое сердце"", трус"
fake off,,"слоняться без дела, отлынивать от работы; лодырничать; создавать слабую видимость работы"
